file	dur_s	rate	ch	bits	rms	peak	zcr_hz	silence
WAV_RDV__1.wav	1.891	48000	2	24	0.1607	0.4834	2928.0	0.150
WAV_RDV__10.wav	1.191	48000	2	24	0.0658	0.2559	4795.2	0.392
WAV_RDV__100.wav	2.333	48000	2	24	0.2170	0.5917	1953.6	0.108
WAV_RDV__101.wav	1.695	48000	2	24	0.0953	0.4388	4430.4	0.477
WAV_RDV__102.wav	1.700	48000	2	24	0.0794	0.4040	4204.8	0.333
WAV_RDV__103.wav	2.267	48000	2	24	0.0920	0.3484	3739.2	0.264
WAV_RDV__104.wav	1.400	48000	2	24	0.2030	0.5670	1732.8	0.110
WAV_RDV__105.wav	1.200	48000	2	24	0.1136	0.4714	5798.4	0.433
WAV_RDV__11.wav	1.550	48000	2	24	0.0595	0.4520	2448.0	0.570
WAV_RDV__12.wav	1.075	48000	2	24	0.0911	0.3185	3148.8	0.261
WAV_RDV__13.wav	1.967	48000	2	24	0.1384	0.4237	2395.2	0.173
WAV_RDV__14.wav	2.341	48000	2	24	0.0750	0.2466	1804.8	0.259
WAV_RDV__15.wav	2.640	48000	2	24	0.0773	0.2523	5448.0	0.313
WAV_RDV__16.wav	1.418	48000	2	24	0.0158	0.0555	700.8	0.977
WAV_RDV__17.wav	1.833	48000	2	24	0.0656	0.2800	5419.2	0.352
WAV_RDV__18.wav	1.062	48000	2	24	0.0251	0.1102	5140.8	0.791
WAV_RDV__19.wav	1.467	48000	2	24	0.0812	0.3989	4641.6	0.357
WAV_RDV__2.wav	1.200	48000	2	24	0.1218	0.4515	3643.2	0.225
WAV_RDV__20.wav	2.200	48000	2	24	0.0888	0.3366	4094.4	0.451
WAV_RDV__21.wav	1.500	48000	2	24	0.0764	0.2275	878.4	0.295
WAV_RDV__22.wav	1.567	48000	2	24	0.0768	0.3512	4617.6	0.298
WAV_RDV__23.wav	3.158	48000	2	24	0.0331	0.2873	2995.2	0.806
WAV_RDV__24.wav	1.167	48000	2	24	0.1610	0.5178	2332.8	0.150
WAV_RDV__25.wav	1.867	48000	2	24	0.0645	0.2821	5452.8	0.498
WAV_RDV__26.wav	1.533	48000	2	24	0.0279	0.1023	1953.6	0.785
WAV_RDV__27.wav	1.300	48000	2	24	0.0669	0.2473	4862.4	0.374
WAV_RDV__28.wav	1.433	48000	2	24	0.0505	0.2894	4785.6	0.676
WAV_RDV__29.wav	1.833	48000	2	24	0.0848	0.1954	840.0	0.241
WAV_RDV__3.wav	3.129	48000	2	24	0.0996	0.3550	3484.8	0.264
WAV_RDV__30.wav	2.223	48000	2	24	0.0713	0.3055	3916.8	0.590
WAV_RDV__31.wav	1.324	48000	2	24	0.0629	0.2736	1929.6	0.321
WAV_RDV__32.wav	1.833	48000	2	24	0.0455	0.1973	5136.0	0.613
WAV_RDV__33.wav	0.686	48000	2	24	0.0412	0.2291	8064.0	0.668
WAV_RDV__34.wav	1.205	48000	2	24	0.0415	0.2308	4368.0	0.573
WAV_RDV__35.wav	1.033	48000	2	24	0.1007	0.4141	3532.8	0.312
WAV_RDV__36.wav	0.914	48000	2	24	0.0811	0.3389	4972.8	0.326
WAV_RDV__37.wav	0.689	48000	2	24	0.0463	0.1706	6499.2	0.556
WAV_RDV__38.wav	1.333	48000	2	24	0.1349	0.4643	3374.4	0.189
WAV_RDV__39.wav	2.200	48000	2	24	0.0151	0.1910	4708.8	0.969
WAV_RDV__4.wav	3.154	48000	2	24	0.0389	0.2898	3508.8	0.853
WAV_RDV__40.wav	1.177	48000	2	24	0.0629	0.2650	6432.0	0.557
WAV_RDV__41.wav	6.112	48000	2	24	0.1158	0.5484	3542.4	0.268
WAV_RDV__42.wav	1.667	48000	2	24	0.1338	0.2657	3316.8	0.122
WAV_RDV__43.wav	12.418	48000	2	24	0.0917	0.2626	3177.6	0.350
WAV_RDV__44.wav	12.155	48000	2	24	0.1395	0.4394	763.2	0.150
WAV_RDV__45.wav	2.843	48000	2	24	0.2015	0.5651	1036.8	0.113
WAV_RDV__46.wav	2.132	48000	2	24	0.2660	0.6010	931.2	0.075
WAV_RDV__47.wav	3.532	48000	2	24	0.1206	0.3988	2601.6	0.205
WAV_RDV__48.wav	3.614	48000	2	24	0.1502	0.4873	1675.2	0.156
WAV_RDV__49.wav	4.300	48000	2	24	0.1774	0.5668	2616.0	0.176
WAV_RDV__5.wav	1.610	48000	2	24	0.2264	0.4707	2328.0	0.068
WAV_RDV__50.wav	3.333	48000	2	24	0.0977	0.3958	1492.8	0.242
WAV_RDV__51.wav	2.455	48000	2	24	0.0797	0.5529	3667.2	0.391
WAV_RDV__52.wav	2.267	48000	2	24	0.0531	0.3018	3326.4	0.515
WAV_RDV__53.wav	3.633	48000	2	24	0.0067	0.0553	2731.2	0.986
WAV_RDV__54.wav	0.900	48000	2	24	0.1530	0.5364	2054.4	0.175
WAV_RDV__55.wav	4.600	48000	2	24	0.1921	0.5173	2601.6	0.113
WAV_RDV__56.wav	2.305	48000	2	24	0.1316	0.4717	3086.4	0.193
WAV_RDV__57.wav	5.549	48000	2	24	0.2166	0.5655	1185.6	0.095
WAV_RDV__58.wav	3.533	48000	2	24	0.2207	0.6039	1420.8	0.129
WAV_RDV__59.wav	2.426	48000	2	24	0.2458	0.5581	2092.8	0.091
WAV_RDV__6.wav	1.471	48000	2	24	0.0468	0.2363	6758.4	0.640
WAV_RDV__60.wav	1.967	48000	2	24	0.2063	0.5319	2193.6	0.116
WAV_RDV__61.wav	5.665	48000	2	24	0.2289	0.5748	1944.0	0.099
WAV_RDV__62.wav	2.233	48000	2	24	0.1938	0.5639	2232.0	0.118
WAV_RDV__63.wav	4.433	48000	2	24	0.1851	0.5329	1992.0	0.136
WAV_RDV__64.wav	3.258	48000	2	24	0.1083	0.4597	3628.8	0.312
WAV_RDV__65.wav	5.375	48000	2	24	0.1428	0.4138	3249.6	0.152
WAV_RDV__66.wav	6.033	48000	2	24	0.1721	0.4729	2918.4	0.142
WAV_RDV__67.wav	2.367	48000	2	24	0.2401	0.6028	1536.0	0.095
WAV_RDV__68.wav	2.200	48000	2	24	0.0846	0.3711	3513.6	0.357
WAV_RDV__69.wav	2.780	48000	2	24	0.1350	0.4237	3590.4	0.200
WAV_RDV__7.wav	0.855	48000	2	24	0.0744	0.2714	5544.0	0.499
WAV_RDV__70.wav	3.315	48000	2	24	0.1243	0.4925	3000.0	0.228
WAV_RDV__71.wav	2.800	48000	2	24	0.1422	0.4065	3691.2	0.171
WAV_RDV__72.wav	1.400	48000	2	24	0.1179	0.4109	3384.0	0.233
WAV_RDV__73.wav	1.533	48000	2	24	0.1036	0.5595	5241.6	0.388
WAV_RDV__74.wav	2.267	48000	2	24	0.2296	0.5758	1137.6	0.106
WAV_RDV__75.wav	2.867	48000	2	24	0.0144	0.1274	3192.0	0.973
WAV_RDV__76.wav	2.700	48000	2	24	0.0520	0.3568	7238.4	0.637
WAV_RDV__77.wav	6.000	48000	2	24	0.0138	0.0534	11769.6	0.962
WAV_RDV__78.wav	2.200	48000	2	24	0.1615	0.5372	2284.8	0.213
WAV_RDV__79.wav	3.600	48000	2	24	0.1593	0.4246	3451.2	0.145
WAV_RDV__8.wav	1.981	48000	2	24	0.0931	0.2952	3758.4	0.289
WAV_RDV__80.wav	3.033	48000	2	24	0.0817	0.3215	6000.0	0.508
WAV_RDV__81.wav	2.400	48000	2	24	0.1673	0.5514	2731.2	0.166
WAV_RDV__82.wav	3.167	48000	2	24	0.2269	0.6103	840.0	0.113
WAV_RDV__83.wav	2.300	48000	2	24	0.1455	0.4588	3158.4	0.175
WAV_RDV__84.wav	4.100	48000	2	24	0.2444	0.6018	1512.0	0.100
WAV_RDV__85.wav	3.667	48000	2	24	0.0185	0.0796	10243.2	0.910
WAV_RDV__86.wav	2.700	48000	2	24	0.1491	0.6000	5529.6	0.434
WAV_RDV__87.wav	2.900	48000	2	24	0.1369	0.5478	4641.6	0.440
WAV_RDV__88.wav	2.633	48000	2	24	0.1190	0.4106	2452.8	0.206
WAV_RDV__89.wav	2.600	48000	2	24	0.1519	0.4996	1987.2	0.151
WAV_RDV__9.wav	1.459	48000	2	24	0.0726	0.2553	5404.8	0.513
WAV_RDV__90.wav	2.167	48000	2	24	0.0744	0.2710	4972.8	0.327
WAV_RDV__91.wav	2.933	48000	2	24	0.0361	0.2465	9868.8	0.802
WAV_RDV__92.wav	3.300	48000	2	24	0.2246	0.5869	1660.8	0.091
WAV_RDV__93.wav	3.600	48000	2	24	0.1236	0.4494	2817.6	0.201
WAV_RDV__94.wav	4.200	48000	2	24	0.1591	0.5342	2481.6	0.155
WAV_RDV__95.wav	4.500	48000	2	24	0.1688	0.5746	3417.6	0.271
WAV_RDV__96.wav	3.300	48000	2	24	0.1491	0.4972	2980.8	0.369
WAV_RDV__97.wav	2.667	48000	2	24	0.1576	0.5531	2270.4	0.191
WAV_RDV__98.wav	2.167	48000	2	24	0.1788	0.5639	1843.2	0.133
WAV_RDV__99.wav	2.800	48000	2	24	0.2623	0.5543	2203.2	0.076
